# Data structure:

# Category, Name, Profile class, geometric data...

# All measures must be in millimeters

# Possible profile classes are: 

# SCF_C_WL =    Steel Cold Formed C-profile with lips
# SHR_CHS=      Steel Hot Rolled Circular Hollow Section
# SHR_L=        Steel Hot Rolled L-angle with parallel flanges
# SHR_I_PF=     Steel Hot Rolled I/H-section parallel flange
# SHR_I_SF=     Steel Hot Rolled I/H-section sloped flange
# SHR_RS=        Steel Hot Rolled Round Section
# SHR_RCT=      Steel Hot Rolled Rectangular 
# SHR_RHS=      Steel Hot Rolled Rectangle Hollow Section
# SHR_C_PF=     Steel Hot Rolled C-channel Parallel Flange
# SHR_C_SF=     Steel Hot Rolled C-channel Sloped Flange


# Additional profile types must be implemented in ArchProfile.py first

###########################################

# Steel Hot Rolled Round Section

# Category,Name,SHR_RS,Diameter
R,R5,SHR_RS,5
R,R8,SHR_RS,8
R,R10,SHR_RS,10
R,R12,SHR_RS,12
R,R14,SHR_RS,14
R,R15,SHR_RS,151
R,R16,SHR_RS,16
R,R18,SHR_RS,18
R,R19,SHR_RS,19
R,R20,SHR_RS,20
R,R22,SHR_RS,22
R,R24,SHR_RS,24
R,R25,SHR_RS,25
R,R27,SHR_RS,27
CHS,CHS323.9x12.5,SHR_CHS,323.9,12.5
CHS,CHS323.9x14.2,SHR_CHS,323.9,14.2
CHS,CHS323.9x16,SHR_CHS,323.9,16
CHS,CHS323.9x17.5,SHR_CHS,323.9,17.5
CHS,CHS323.9x20,SHR_CHS,323.9,20
CHS,CHS323.9x22.2,SHR_CHS,323.9,22.2
CHS,CHS323.9x25,SHR_CHS,323.9,25
CHS,CHS323.9x28,SHR_CHS,323.9,28
CHS,CHS323.9x29,SHR_CHS,323.9,29
CHS,CHS323.9x30,SHR_CHS,323.9,30
CHS,CHS323.9x32,SHR_CHS,323.9,32
CHS,CHS323.9x36,SHR_CHS,323.9,36
CHS,CHS323.9x40,SHR_CHS,323.9,40
CHS,CHS355.6x8,SHR_CHS,355.6,8
CHS,CHS355.6x8.8,SHR_CHS,355.6,8.8
CHS,CHS355.6x10,SHR_CHS,355.6,10
CHS,CHS355.6x12.5,SHR_CHS,355.6,12.5
CHS,CHS355.6x14.2,SHR_CHS,355.6,14.2
CHS,CHS355.6x16,SHR_CHS,355.6,16
CHS,CHS355.6x17.5,SHR_CHS,355.6,17.5
CHS,CHS355.6x20,SHR_CHS,355.6,20
CHS,CHS355.6x22.2,SHR_CHS,355.6,22.2
CHS,CHS355.6x25,SHR_CHS,355.6,25
CHS,CHS355.6x28,SHR_CHS,355.6,28
CHS,CHS355.6x30,SHR_CHS,355.6,30
CHS,CHS355.6x32,SHR_CHS,355.6,32
CHS,CHS355.6x36,SHR_CHS,355.6,36
CHS,CHS355.6x40,SHR_CHS,355.6,40
CHS,CHS368x8.0,SHR_CHS,368,8
CHS,CHS406.4x8.8,SHR_CHS,406.4,8.8
CHS,CHS406.4x10,SHR_CHS,406.4,10
CHS,CHS406.4x12.5,SHR_CHS,406.4,12.5
CHS,CHS406.4x14.2,SHR_CHS,406.4,14.2
CHS,CHS406.4x16,SHR_CHS,406.4,16
CHS,CHS406.4x17.5,SHR_CHS,406.4,17.5
CHS,CHS406.4x20,SHR_CHS,406.4,20
CHS,CHS406.4x22.2,SHR_CHS,406.4,22.2
CHS,CHS406.4x25,SHR_CHS,406.4,25
CHS,CHS406.4x28,SHR_CHS,406.4,28
CHS,CHS406.4x30,SHR_CHS,406.4,30
CHS,CHS406.4x32,SHR_CHS,406.4,32
CHS,CHS406.4x36,SHR_CHS,406.4,36
CHS,CHS406.4x40,SHR_CHS,406.4,40
CHS,CHS419x10.0,SHR_CHS,419,10
CHS,CHS457x10,SHR_CHS,457,10
CHS,CHS457x12.5,SHR_CHS,457,12.5
CHS,CHS457x14.2,SHR_CHS,457,14.2
CHS,CHS457x16,SHR_CHS,457,16
CHS,CHS457x17.5,SHR_CHS,457,17.5
CHS,CHS457x20,SHR_CHS,457,20
CHS,CHS457x22.2,SHR_CHS,457,22.2
CHS,CHS457x25,SHR_CHS,457,25
CHS,CHS457x28,SHR_CHS,457,28
CHS,CHS457x30,SHR_CHS,457,30
CHS,CHS457x32,SHR_CHS,457,32
CHS,CHS457x36,SHR_CHS,457,36
CHS,CHS457x40,SHR_CHS,457,40
CHS,CHS457.2x10.0,SHR_CHS,457.2,10
CHS,CHS508x11.0,SHR_CHS,508,11
CHS,CHS508x12.5,SHR_CHS,508,12.5
CHS,CHS508x14.2,SHR_CHS,508,14.2
CHS,CHS508x16,SHR_CHS,508,16
CHS,CHS508x17.5,SHR_CHS,508,17.5
CHS,CHS508x20,SHR_CHS,508,20
CHS,CHS508x22.2,SHR_CHS,508,22.2
CHS,CHS508x25,SHR_CHS,508,25
CHS,CHS508x28,SHR_CHS,508,28
CHS,CHS508x30,SHR_CHS,508,30
CHS,CHS508x32,SHR_CHS,508,32
CHS,CHS508x36,SHR_CHS,508,36
CHS,CHS508x40,SHR_CHS,508,40
CHS,CHS558.8x12.5,SHR_CHS,558.8,12.5
CHS,CHS559x12.5,SHR_CHS,559,12.5
CHS,CHS559x14.2,SHR_CHS,559,14.2
CHS,CHS559x16,SHR_CHS,559,16
CHS,CHS559x20,SHR_CHS,559,20
CHS,CHS559x22.2,SHR_CHS,559,22.2
CHS,CHS559x25,SHR_CHS,559,25
CHS,CHS559x30,SHR_CHS,559,30
CHS,CHS559x36,SHR_CHS,559,36
CHS,CHS559x40,SHR_CHS,559,40
CHS,CHS610x14.2,SHR_CHS,610,14.2
CHS,CHS610x17.5,SHR_CHS,610,17.5
CHS,CHS610x20,SHR_CHS,610,20
CHS,CHS610x25,SHR_CHS,610,25
CHS,CHS610x30,SHR_CHS,610,30
CHS,CHS610x36,SHR_CHS,610,36
CHS,CHS610x40,SHR_CHS,610,40

# SCF_C_WL

# Category,Name,SCF_C,width,height,thickness,inner fillet,lip length,centroid horizontal

# C-profile with lips

C-profile with lips,C100/50/10/1,SCF_C_WL,50,100,1,3,10,7.28
C-profile with lips,C100/50/10/1.5,SCF_C_WL,50,100,1.5,3,10,2.71
C-profile with lips,C100/50/10/2,SCF_C_WL,50,100,2,3,10,2.18
C-profile with lips,C150/50/10/1,SCF_C_WL,50,150,1,3,10,14.67
C-profile with lips,C150/50/10/1.5,SCF_C_WL,50,150,1.5,3,10,5.43
C-profile with lips,C150/50/10/2,SCF_C_WL,50,150,2,3,10,2.96
C-profile with lips,C200/50/10/2,SCF_C_WL,50,200,2,3,10,10
C-profile with lips,C250/50/10/2,SCF_C_WL,50,250,2,3,10,10

# H- or I-profile

# Category,Name,SHR_I_PF,width,height,web thickness,flange thickness,radius,

# HEA profiles

HEA,HEA100,SHR_I_PF,100,96,5,8,12
HEA,HEA120,SHR_I_PF,120,114,5,8,12
HEA,HEA140,SHR_I_PF,140,133,5.5,8.5,12
HEA,HEA160,SHR_I_PF,160,152,6,9,15
HEA,HEA180,SHR_I_PF,180,171,6,9.5,15
HEA,HEA200,SHR_I_PF,200,190,6.5,10,18
HEA,HEA220,SHR_I_PF,220,210,7,11,18
HEA,HEA240,SHR_I_PF,240,230,7.5,12,21
HEA,HEA260,SHR_I_PF,260,250,7.5,12.5,24
HEA,HEA280,SHR_I_PF,280,270,8,13,24
HEA,HEA300,SHR_I_PF,300,290,8.5,14,27
HEA,HEA320,SHR_I_PF,300,310,9,15.5,27
HEA,HEA340,SHR_I_PF,300,330,9.5,16.5,27
HEA,HEA360,SHR_I_PF,300,350,10,17.5,27
HEA,HEA400,SHR_I_PF,300,390,11,19,27
HEA,HEA450,SHR_I_PF,300,440,11.5,21,27
HEA,HEA500,SHR_I_PF,300,490,12,23,27
HEA,HEA550,SHR_I_PF,300,540,12.5,24,27
HEA,HEA600,SHR_I_PF,300,590,13,25,27
HEA,HEA650,SHR_I_PF,300,640,13.5,26,27
HEA,HEA700,SHR_I_PF,300,690,14.5,27,27
HEA,HEA800,SHR_I_PF,300,790,15,28,30
HEA,HEA900,SHR_I_PF,300,890,16,30,30
HEA,HEA1000,SHR_I_PF,300,990,16.5,31,30
HEA,HEAA100,SHR_I_PF,100,91,4.2,5.5,12
HEA,HEAA120,SHR_I_PF,120,109,4.2,5.5,12
HEA,HEAA140,SHR_I_PF,140,128,4.3,6,12
HEA,HEAA160,SHR_I_PF,160,148,4.5,7,15
HEA,HEAA180,SHR_I_PF,180,167,5,7.5,15
HEA,HEAA200,SHR_I_PF,200,186,5.5,8,18
HEA,HEAA220,SHR_I_PF,220,205,6,8.5,18
HEA,HEAA240,SHR_I_PF,240,224,6.5,9,21
HEA,HEAA260,SHR_I_PF,260,244,6.5,9.5,24
HEA,HEAA280,SHR_I_PF,280,264,7,10,24
HEA,HEAA300,SHR_I_PF,300,283,7.5,10.5,27
HEA,HEAA320,SHR_I_PF,300,301,8,11,27
HEA,HEAA340,SHR_I_PF,300,320,8.5,11.5,27
HEA,HEAA360,SHR_I_PF,300,339,9,12,27
HEA,HEAA400,SHR_I_PF,300,378,9.5,13,27
HEA,HEAA450,SHR_I_PF,300,425,10,13.5,27
HEA,HEAA500,SHR_I_PF,300,472,10.5,14,27
HEA,HEAA550,SHR_I_PF,300,522,11.5,15,27
HEA,HEAA600,SHR_I_PF,300,571,12,15.5,27
HEA,HEAA650,SHR_I_PF,300,620,12.5,16,27
HEA,HEAA700,SHR_I_PF,300,670,13,17,27
HEA,HEAA800,SHR_I_PF,300,770,14,18,30
HEA,HEAA900,SHR_I_PF,300,870,15,20,30
HEA,HEAA1000,SHR_I_PF,300,970,16,21,30

# HEB profiles

HEB,HEB100,SHR_I_PF,100,100,6,10,12
HEB,HEB120,SHR_I_PF,120,120,6.5,11,12
